Episode 1/2000, Reward: 0.15024264920374109 Cash: 15236.681195753737 
Episode 11/2000, Reward: 0.4008939185275431 Cash: 9999.927084410077 
Episode 21/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 31/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 41/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 51/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 61/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 71/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 81/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 91/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 101/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 111/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 121/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 131/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
