Episode 1/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 11/2000, Reward: 4.6018787039077615 Cash: 28979.012350035202 
Episode 21/2000, Reward: 4.681939489552226 Cash: 30585.913006386007 
Episode 31/2000, Reward: 4.871596641656559 Cash: 26373.796612055987 
Episode 41/2000, Reward: 4.932124806067907 Cash: 25618.83256554396 
Episode 51/2000, Reward: 4.8678234246413075 Cash: 26522.446662018116 
Episode 61/2000, Reward: 5.129235342025701 Cash: 28196.55361957978 
Episode 71/2000, Reward: 4.828847521451916 Cash: 25535.138231890967 
Episode 81/2000, Reward: 4.894417178524252 Cash: 26418.70028846179 
Episode 91/2000, Reward: 4.619554549399012 Cash: 17601.25171496134 
Episode 101/2000, Reward: 4.937771899781257 Cash: 25735.923934921386 
Episode 111/2000, Reward: 4.938026569372632 Cash: 25745.585934719496 
Episode 121/2000, Reward: 4.422779770699341 Cash: 25553.809165563292 
Episode 131/2000, Reward: 4.830379083981657 Cash: 30020.353572779124 
Episode 141/2000, Reward: 4.830414488691166 Cash: 30021.35247765374 
Episode 151/2000, Reward: 4.410266172986306 Cash: 30601.347351602813 
Episode 161/2000, Reward: 5.313492788073723 Cash: 26264.096986706358 
Episode 171/2000, Reward: 5.313492807754812 Cash: 26264.097133134404 
Episode 181/2000, Reward: 5.313492822515628 Cash: 26264.09724295543 
Episode 191/2000, Reward: 5.313492842196717 Cash: 26264.09738938348 
Episode 201/2000, Reward: 5.313492842196717 Cash: 26264.09738938348 
Episode 211/2000, Reward: 2.5654767321156107 Cash: 13486.13807598883 
Episode 221/2000, Reward: 4.825649974672259 Cash: 26480.496507667423 
Episode 231/2000, Reward: 4.825649974672259 Cash: 26480.496507667423 
Episode 241/2000, Reward: 4.825649974672259 Cash: 26480.496507667423 
Episode 251/2000, Reward: 4.825649974672259 Cash: 26480.496507667423 
Episode 261/2000, Reward: 4.675972809830628 Cash: 24004.205978363516 
Episode 271/2000, Reward: 4.938081526566186 Cash: 25747.491732523577 
Episode 281/2000, Reward: 5.091334413348205 Cash: 27870.405657705018 
Episode 291/2000, Reward: 5.091334372040968 Cash: 27870.406252726374 
Episode 301/2000, Reward: 5.091334372040968 Cash: 27870.406252726374 
Episode 311/2000, Reward: 5.091334372040968 Cash: 27870.406252726374 
Episode 321/2000, Reward: 5.091334372040968 Cash: 27870.406252726374 
Episode 331/2000, Reward: 5.091334372040968 Cash: 27870.406252726374 
Episode 341/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 351/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 361/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 371/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 381/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 391/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 401/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 411/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 421/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 431/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 441/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 451/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 461/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 471/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 481/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 491/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 501/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 511/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 521/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 531/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 541/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 551/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 561/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 571/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 581/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 591/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 601/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 611/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 621/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 631/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 641/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 651/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 661/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 671/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 681/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 691/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 701/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 711/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 721/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 731/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 741/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 751/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 761/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 771/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 781/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 791/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 801/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 811/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 821/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 831/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 841/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 851/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 861/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 871/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 881/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 891/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 901/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 911/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 921/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 931/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 941/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 951/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 961/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 971/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 981/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 991/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1001/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1011/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1021/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1031/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1041/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1051/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1061/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1071/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1081/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1091/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1101/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1111/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1121/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1131/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1141/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1151/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1161/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1171/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1181/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1191/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1201/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1211/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1221/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1231/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1241/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1251/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1261/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1271/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1281/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1291/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1301/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1311/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1321/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1331/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1341/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1351/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1361/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1371/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1381/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1391/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1401/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1411/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1421/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1431/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1441/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1451/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1461/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1471/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1481/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1491/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1501/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1511/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1521/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1531/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1541/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1551/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1561/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1571/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1581/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1591/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1601/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1611/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1621/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1631/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1641/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1651/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1661/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1671/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1681/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1691/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1701/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1711/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1721/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1731/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1741/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1751/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1761/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1771/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1781/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1791/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1801/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1811/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1821/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1831/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1841/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1851/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1861/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1871/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1881/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1891/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1901/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1911/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1921/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1931/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1941/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1951/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1961/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1971/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1981/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
Episode 1991/2000, Reward: 5.132608606116671 Cash: 28200.124298332088 
