Episode 1691/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1701/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1711/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1721/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1731/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1741/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1751/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1761/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1771/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1781/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1791/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1801/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1811/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1821/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1831/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1841/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1851/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1861/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1871/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1881/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1891/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1901/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1911/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1921/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1931/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1941/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1951/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1961/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1971/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1981/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 1991/2000, Reward: 0.7772186385575428 Cash: 10000.0 
