Episode 1/2000, Reward: 0.7772186385575428 Cash: 10000.0 
Episode 11/2000, Reward: 4.117901461045965 Cash: 26405.207065512644 
Episode 21/2000, Reward: 4.483509582284555 Cash: 30269.135000697348 
Episode 31/2000, Reward: 4.650085096315463 Cash: 28858.22591636678 
Episode 41/2000, Reward: 4.988450327278338 Cash: 27237.07375810404 
Episode 51/2000, Reward: 4.991772185853191 Cash: 27131.740089056733 
Episode 61/2000, Reward: 5.1140225440627685 Cash: 27303.895606552185 
Episode 71/2000, Reward: 5.242206565482921 Cash: 24626.272255542222 
Episode 81/2000, Reward: 5.223004890370353 Cash: 24715.231012598164 
Episode 91/2000, Reward: 5.35785140337029 Cash: 24762.40282053782 
Episode 101/2000, Reward: 5.380027353266 Cash: 24686.393759957256 
Episode 111/2000, Reward: 5.458516632364662 Cash: 25625.693580034484 
Episode 121/2000, Reward: 5.4562778063269 Cash: 25788.187028110387 
Episode 131/2000, Reward: 5.450049466382268 Cash: 26256.822149752174 
Episode 141/2000, Reward: 5.38941189145345 Cash: 26143.222035291376 
Episode 151/2000, Reward: 3.448934626497071 Cash: 13437.17532488481 
Episode 161/2000, Reward: 5.4645294618380955 Cash: 26060.624800698988 
Episode 171/2000, Reward: 5.497001164567283 Cash: 24337.318288507282 
Episode 181/2000, Reward: 5.434033847885232 Cash: 25094.611150185134 
Episode 191/2000, Reward: 5.441733652814368 Cash: 23736.912053504897 
Episode 201/2000, Reward: 5.537736518125019 Cash: 22347.971398656922 
Episode 211/2000, Reward: 5.5436929274039315 Cash: 22433.366475187835 
Episode 221/2000, Reward: 5.3481235408260135 Cash: 25423.981041807318 
Episode 231/2000, Reward: 5.5390988541274275 Cash: 22334.000803349834 
Episode 241/2000, Reward: 5.543967814973289 Cash: 22450.9214936778 
Episode 251/2000, Reward: 5.54719856535831 Cash: 22590.189939209406 
Episode 261/2000, Reward: 5.553024301409031 Cash: 22644.612797045516 
Episode 271/2000, Reward: 5.566086043435239 Cash: 22915.29401874075 
Episode 281/2000, Reward: 5.565600123333219 Cash: 22927.688137533143 
Episode 291/2000, Reward: 5.536177504026547 Cash: 21030.722712496 
Episode 301/2000, Reward: 5.445832261113796 Cash: 21947.8520643378 
Episode 311/2000, Reward: 5.465984740197511 Cash: 26700.142170214458 
Episode 321/2000, Reward: 5.392473686251399 Cash: 24561.989064134596 
Episode 331/2000, Reward: 5.553518737261024 Cash: 23576.028453392297 
Episode 341/2000, Reward: 5.567633307871019 Cash: 23475.42614749561 
Episode 351/2000, Reward: 5.586410563233953 Cash: 23342.04555056271 
Episode 361/2000, Reward: 3.10255432812475 Cash: 13323.628881852823 
Episode 371/2000, Reward: 5.535493197182042 Cash: 21982.92530586719 
Episode 381/2000, Reward: 5.5686627519970715 Cash: 23303.236240358612 
Episode 391/2000, Reward: 5.573514672564701 Cash: 23289.279802644905 
Episode 401/2000, Reward: 5.575998143032953 Cash: 23301.179661752645 
Episode 411/2000, Reward: 5.588243752881906 Cash: 23267.243738965302 
Episode 421/2000, Reward: 5.620704225737718 Cash: 22413.947527592078 
Episode 431/2000, Reward: 5.62168001191778 Cash: 22476.456878179873 
Episode 441/2000, Reward: 5.621290149632359 Cash: 22455.676835121725 
Episode 451/2000, Reward: 5.5349887731254865 Cash: 22907.397711213536 
Episode 461/2000, Reward: 5.578379155187548 Cash: 23602.790070848558 
Episode 471/2000, Reward: 5.576313137998867 Cash: 23596.660453392124 
Episode 481/2000, Reward: 5.573637893453802 Cash: 23507.58990834248 
Episode 491/2000, Reward: 5.576376390617662 Cash: 23592.96036977195 
Episode 501/2000, Reward: 3.028580636082642 Cash: 12884.300253172654 
Episode 511/2000, Reward: 5.578688882312679 Cash: 23611.826629002036 
Episode 521/2000, Reward: 5.575271127625927 Cash: 23346.667569171248 
Episode 531/2000, Reward: 5.580376172910033 Cash: 23611.67532737447 
Episode 541/2000, Reward: 5.578928744659392 Cash: 23575.00710866789 
Episode 551/2000, Reward: 5.580423779838972 Cash: 23607.70718992013 
Episode 561/2000, Reward: 5.580422446097511 Cash: 23609.169538881903 
Episode 571/2000, Reward: 5.575958045276864 Cash: 23366.012069740213 
Episode 581/2000, Reward: 5.580410112296423 Cash: 23618.89413807484 
Episode 591/2000, Reward: 5.580603006874749 Cash: 23612.602185077292 
Episode 601/2000, Reward: 5.576103000898726 Cash: 23440.852006904624 
Episode 611/2000, Reward: 5.580563464688425 Cash: 23622.72103103082 
Episode 621/2000, Reward: 5.580768887962821 Cash: 23622.297593557007 
Episode 631/2000, Reward: 5.5806836058567715 Cash: 23614.198293710295 
Episode 641/2000, Reward: 5.580929416549598 Cash: 23625.192037984387 
Episode 651/2000, Reward: 5.5807785082611785 Cash: 23621.911623335993 
Episode 661/2000, Reward: 5.579088278743448 Cash: 23602.86532253951 
Episode 671/2000, Reward: 5.580907241428984 Cash: 23625.6026165231 
Episode 681/2000, Reward: 5.580854299094508 Cash: 23625.978140688552 
Episode 691/2000, Reward: 5.580832497400273 Cash: 23625.8146462786 
Episode 701/2000, Reward: 5.5809317833983245 Cash: 23625.817730883704 
Episode 711/2000, Reward: 5.58075734885087 Cash: 23626.6653996455 
Episode 721/2000, Reward: 5.580675361463777 Cash: 23615.383271243158 
Episode 731/2000, Reward: 5.580743165060664 Cash: 23619.55141170579 
Episode 741/2000, Reward: 3.135969412966074 Cash: 13828.534194537613 
Episode 751/2000, Reward: 5.580780310184192 Cash: 23626.032148977934 
Episode 761/2000, Reward: 5.580699497265797 Cash: 23626.16682964044 
Episode 771/2000, Reward: 5.5796655486281335 Cash: 23626.017269285378 
Episode 781/2000, Reward: 5.568446688597467 Cash: 22945.17807527398 
Episode 791/2000, Reward: 5.580865589181732 Cash: 23619.77742442417 
Episode 801/2000, Reward: 5.580969538400545 Cash: 23625.397291908477 
Episode 811/2000, Reward: 5.580077844617118 Cash: 23621.878890921755 
Episode 821/2000, Reward: 5.569875730757383 Cash: 23429.483941461447 
Episode 831/2000, Reward: 5.568247610851433 Cash: 22960.882994100157 
Episode 841/2000, Reward: 5.56825996545324 Cash: 22960.93951350122 
Episode 851/2000, Reward: 5.568267758738302 Cash: 22960.98480653351 
Episode 861/2000, Reward: 5.568275384659728 Cash: 22961.009769901066 
Episode 871/2000, Reward: 5.568283407367213 Cash: 22961.01826789836 
Episode 881/2000, Reward: 5.56828778589181 Cash: 22961.042992539216 
Episode 891/2000, Reward: 5.568282537231819 Cash: 22960.919826883706 
Episode 901/2000, Reward: 5.56828488529283 Cash: 22961.059020079334 
Episode 911/2000, Reward: 5.568290701191696 Cash: 22961.021545633004 
Episode 921/2000, Reward: 5.568292081515146 Cash: 22961.060173447248 
Episode 931/2000, Reward: 5.568292871527377 Cash: 22961.06076545655 
Episode 941/2000, Reward: 5.568293851486847 Cash: 22961.073818453235 
Episode 951/2000, Reward: 5.145577432879824 Cash: 13821.949892182662 
Episode 961/2000, Reward: 5.39670622998241 Cash: 20898.98579626193 
Episode 971/2000, Reward: 5.396336547686754 Cash: 20897.06942369695 
Episode 981/2000, Reward: 5.396820952485434 Cash: 20899.760523377285 
Episode 991/2000, Reward: 5.409549605412202 Cash: 21505.76343722866 
Episode 1001/2000, Reward: 5.409579212705368 Cash: 21506.225061866462 
Episode 1011/2000, Reward: 5.409579247123801 Cash: 21506.17096134742 
Episode 1021/2000, Reward: 5.409582358933934 Cash: 21506.245156409423 
Episode 1031/2000, Reward: 5.409589811611582 Cash: 21506.322250165664 
Episode 1041/2000, Reward: 5.409590830762411 Cash: 21506.33179664742 
Episode 1051/2000, Reward: 5.40949018586353 Cash: 21505.59718311136 
Episode 1061/2000, Reward: 5.409595278118326 Cash: 21506.24794145515 
Episode 1071/2000, Reward: 5.409597462680335 Cash: 21506.383721846647 
Episode 1081/2000, Reward: 5.396659905019791 Cash: 20898.851848788254 
Episode 1091/2000, Reward: 5.409591256092441 Cash: 21506.199812341743 
Episode 1101/2000, Reward: 5.409593042630353 Cash: 21506.372907878664 
Episode 1111/2000, Reward: 5.409587106845827 Cash: 21505.879764955615 
Episode 1121/2000, Reward: 5.409539887798012 Cash: 21503.651505673224 
Episode 1131/2000, Reward: 5.4095932594457095 Cash: 21506.209962827706 
Episode 1141/2000, Reward: 5.409596500500201 Cash: 21506.34594332552 
Episode 1151/2000, Reward: 5.409594886551945 Cash: 21506.360620545263 
Episode 1161/2000, Reward: 5.409596440482629 Cash: 21506.364053398112 
Episode 1171/2000, Reward: 5.40959745054784 Cash: 21506.382901120152 
Episode 1181/2000, Reward: 5.409587254856675 Cash: 21505.892405746188 
Episode 1191/2000, Reward: 5.409598459262826 Cash: 21506.394355503064 
Episode 1201/2000, Reward: 1.0188551150293301 Cash: 6511.447132879342 
Episode 1211/2000, Reward: 4.737157489453782 Cash: 24253.60057146465 
Episode 1221/2000, Reward: 4.737280490921076 Cash: 24258.43537330843 
Episode 1231/2000, Reward: 4.844923923989486 Cash: 20806.50185231813 
Episode 1241/2000, Reward: 4.8449753002288825 Cash: 20804.14053766287 
Episode 1251/2000, Reward: 5.290294363424073 Cash: 20592.76999431191 
Episode 1261/2000, Reward: 4.831716846487738 Cash: 22647.8985558497 
Episode 1271/2000, Reward: 5.357066092080865 Cash: 17723.11694509753 
Episode 1281/2000, Reward: 5.227708076046791 Cash: 14503.437101916566 
Episode 1291/2000, Reward: 5.227994421926369 Cash: 14506.643845921726 
Episode 1301/2000, Reward: 5.228306363708589 Cash: 14509.71278755313 
Episode 1311/2000, Reward: 5.228367869931427 Cash: 14510.272757391387 
Episode 1321/2000, Reward: 5.252216549313678 Cash: 29434.80178580457 
Episode 1331/2000, Reward: 5.251757901729806 Cash: 29441.853705370846 
Episode 1341/2000, Reward: 5.25175830359658 Cash: 29441.888621617516 
Episode 1351/2000, Reward: 5.51548711957451 Cash: 27381.95994486453 
Episode 1361/2000, Reward: 5.515515351760127 Cash: 27383.23081636273 
Episode 1371/2000, Reward: 5.502778966794272 Cash: 26610.92304446248 
Episode 1381/2000, Reward: 5.502791768636655 Cash: 26611.194380561512 
Episode 1391/2000, Reward: 5.5027926093172725 Cash: 26611.207686554048 
