Episode 1/2000, Reward: 0.3241949187525642 Cash: 15018.168067682931 
Episode 11/2000, Reward: 0.40096466157142674 Cash: 9999.99590763643 
Episode 21/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 31/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 41/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 51/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 61/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 71/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 81/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
Episode 91/2000, Reward: 0.40096886790241903 Cash: 9999.999999999998 
