Episode 3/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 5/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 7/2000, Reward: -62.36994443876787 Cash: 143.13166460283213 
Episode 9/2000, Reward: -66.36627139565294 Cash: 95.64502825320513 
Episode 11/2000, Reward: -66.37289429433683 Cash: 95.57405831230064 
Episode 13/2000, Reward: -66.37288191109305 Cash: 95.57418183384993 
Episode 15/2000, Reward: -66.37270447781914 Cash: 95.57597283637726 
Episode 17/2000, Reward: -66.37284461988219 Cash: 95.57455770816455 
Episode 19/2000, Reward: -66.37288308938176 Cash: 95.57417147307414 
Episode 21/2000, Reward: -66.37289309078415 Cash: 95.57407051112853 
Episode 23/2000, Reward: -66.37289284538397 Cash: 95.57407306570148 
Episode 25/2000, Reward: -66.37289158350026 Cash: 95.57408493288912 
Episode 27/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 29/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 31/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 33/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 35/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 37/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 39/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 41/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 43/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 45/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 47/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 49/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 51/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 53/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 55/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 57/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 59/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 61/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 63/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 65/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 67/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 69/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 71/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 73/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 75/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 77/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 79/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
