Episode 3/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 5/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 7/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 9/2000, Reward: -57.99297715107223 Cash: 9932.603377043119 
Episode 11/2000, Reward: -58.000577843230815 Cash: 9025.098920487548 
Episode 13/2000, Reward: -57.53528556034936 Cash: 8094.763842907673 
Episode 15/2000, Reward: -56.94589653396337 Cash: 7283.480899132819 
Episode 17/2000, Reward: -56.36790361389427 Cash: 6470.6324757955945 
Episode 19/2000, Reward: -55.759472947123335 Cash: 5652.528334451384 
Episode 21/2000, Reward: -55.02731058138239 Cash: 4910.3173914775325 
Episode 23/2000, Reward: -54.30809485116764 Cash: 4279.942043148434 
