Episode 3/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 5/2000, Reward: -57.32497030626532 Cash: 213.45693358919058 
Episode 7/2000, Reward: -65.82122714218255 Cash: 105.78000645164653 
Episode 9/2000, Reward: -66.36738607085825 Cash: 95.667633224143 
Episode 11/2000, Reward: -66.37070569704431 Cash: 95.61035592801363 
Episode 13/2000, Reward: -66.37114932951673 Cash: 95.60270919572902 
Episode 15/2000, Reward: -66.37097811606023 Cash: 95.60510496501152 
Episode 17/2000, Reward: -66.36616687991238 Cash: 95.67825651080177 
Episode 19/2000, Reward: -61.662941188169725 Cash: 194.13401515312026 
Episode 21/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 23/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 25/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 27/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 29/2000, Reward: -57.05782633293394 Cash: 209.33233610832335 
Episode 31/2000, Reward: -55.38564247463811 Cash: 219.97695861130524 
Episode 33/2000, Reward: -58.444701106510315 Cash: 195.6531341183119 
Episode 35/2000, Reward: -63.014115869804066 Cash: 93.09067716370394 
Episode 37/2000, Reward: -63.0143568200658 Cash: 93.01403208526202 
Episode 39/2000, Reward: -64.34571881058186 Cash: 116.10379280875802 
Episode 41/2000, Reward: -64.59381558923734 Cash: 118.79112291241493 
Episode 43/2000, Reward: -64.64652966536575 Cash: 121.28129474108785 
Episode 45/2000, Reward: -64.66922775845659 Cash: 125.92675061053608 
Episode 47/2000, Reward: -64.74086057908092 Cash: 119.58980473652345 
Episode 49/2000, Reward: -64.56179142768212 Cash: 125.14509380875212 
Episode 51/2000, Reward: -64.34517489342682 Cash: 122.30833231057552 
Episode 53/2000, Reward: -64.6907606404668 Cash: 126.97505891970407 
Episode 55/2000, Reward: -64.85851640667767 Cash: 126.17881370475652 
Episode 57/2000, Reward: -64.59293960236933 Cash: 128.40785948555126 
Episode 59/2000, Reward: -63.06253269647373 Cash: 107.87754785131096 
Episode 61/2000, Reward: -64.66353252687722 Cash: 133.06732684537866 
Episode 63/2000, Reward: -65.18396866648882 Cash: 135.96898697631053 
Episode 65/2000, Reward: -64.40928489079936 Cash: 155.32037951691777 
Episode 67/2000, Reward: -64.83720373905186 Cash: 141.2332876188573 
Episode 69/2000, Reward: -64.30488400525364 Cash: 185.37132664644997 
Episode 71/2000, Reward: -64.33451886291991 Cash: 195.0061377192003 
Episode 73/2000, Reward: -64.40852281380091 Cash: 199.54050453985278 
Episode 75/2000, Reward: -64.30540189689344 Cash: 189.02817305019892 
Episode 77/2000, Reward: -64.20470324877199 Cash: 196.69250769074634 
Episode 79/2000, Reward: -64.17120970072077 Cash: 199.77234295418336 
