Episode 4/2000, Reward: -179.11997524601625 Cash: 6090.592869282447 
Episode 7/2000, Reward: -191.0938288553476 Cash: 6702.118779278777 
Episode 10/2000, Reward: -191.09389958996724 Cash: 6702.1224086489065 
Episode 13/2000, Reward: -191.09392494766115 Cash: 6702.123709743859 
Episode 16/2000, Reward: -191.09392494766115 Cash: 6702.123709743859 
Episode 19/2000, Reward: -191.09391560535286 Cash: 6702.1232303930865 
Episode 22/2000, Reward: -191.0939102668911 Cash: 6702.122956478361 
Episode 25/2000, Reward: -191.09389558612088 Cash: 6702.122203212862 
Episode 28/2000, Reward: -191.09387690150436 Cash: 6702.121244511318 
Episode 31/2000, Reward: -191.09385421304142 Cash: 6702.120080373728 
Episode 34/2000, Reward: -191.0938515438105 Cash: 6702.119943416366 
Episode 37/2000, Reward: -191.09387289765797 Cash: 6702.121039075272 
Episode 40/2000, Reward: -191.09389425150542 Cash: 6702.12213473418 
Episode 43/2000, Reward: -191.09394096304672 Cash: 6702.124531488039 
Episode 46/2000, Reward: -191.09395564381686 Cash: 6702.125284753539 
Episode 49/2000, Reward: -191.09396898997144 Cash: 6702.125969540355 
Episode 52/2000, Reward: -191.0939743284334 Cash: 6702.126243455083 
Episode 55/2000, Reward: -191.0939810015107 Cash: 6702.12658584849 
Episode 58/2000, Reward: -191.0939850053571 Cash: 6702.126791284536 
Episode 61/2000, Reward: -191.09398767458802 Cash: 6702.126928241899 
Episode 64/2000, Reward: -191.0939863399726 Cash: 6702.126859763218 
Episode 67/2000, Reward: -191.09398767458802 Cash: 6702.126928241899 
Episode 70/2000, Reward: -191.09399167843446 Cash: 6702.127133677945 
Episode 73/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 76/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 79/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 82/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 85/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 88/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 91/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 94/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 97/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 100/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 103/2000, Reward: -191.09399034381897 Cash: 6702.127065199263 
Episode 106/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 109/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 112/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 115/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 118/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 121/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 124/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 127/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 130/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 133/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 136/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 139/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 142/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 145/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 148/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 151/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 154/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 157/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 160/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 163/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 166/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 169/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 172/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 175/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 178/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 181/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 184/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 187/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 190/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 193/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 196/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 199/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 202/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 205/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 208/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 211/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 214/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 217/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 220/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 223/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 226/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 229/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 232/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 235/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 238/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 241/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 244/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 247/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 250/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 253/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 256/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 259/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 262/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 265/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 268/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 271/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 274/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 277/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 280/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 283/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 286/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 289/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 292/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 295/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 298/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 301/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 304/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 307/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 310/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 313/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 316/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 319/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 322/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 325/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 328/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 331/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 334/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 337/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 340/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 343/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 346/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 349/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 352/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 355/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 358/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
