Episode 3/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 5/2000, Reward: -59.26384063509674 Cash: 190.92704777886533 
Episode 7/2000, Reward: -66.37073633665925 Cash: 95.59061670694157 
Episode 9/2000, Reward: -66.37154742713716 Cash: 95.58219526348077 
Episode 11/2000, Reward: -62.39894706197646 Cash: 104.55625606365535 
Episode 13/2000, Reward: -60.885379392938084 Cash: 155.44805607210546 
Episode 15/2000, Reward: -64.26512459072298 Cash: 129.1631243956701 
Episode 17/2000, Reward: -65.10042539773963 Cash: 146.50686584148073 
Episode 19/2000, Reward: -65.44553852303413 Cash: 138.97943962628815 
Episode 21/2000, Reward: -65.35483016772108 Cash: 150.06926624128639 
Episode 23/2000, Reward: -64.94789857532794 Cash: 143.8385037612821 
Episode 25/2000, Reward: -64.81976974393818 Cash: 144.76601604836392 
Episode 27/2000, Reward: -64.81193574089137 Cash: 145.0829053056163 
Episode 29/2000, Reward: -64.69129129812069 Cash: 144.72298143362593 
Episode 31/2000, Reward: -60.33469408947774 Cash: 602.9522903729085 
Episode 33/2000, Reward: -64.66068107881627 Cash: 145.13386383152366 
Episode 35/2000, Reward: -64.83438438618145 Cash: 146.68584195596534 
Episode 37/2000, Reward: -64.67678749328039 Cash: 145.12388514557696 
Episode 39/2000, Reward: -64.89641713185226 Cash: 147.9006306734118 
Episode 41/2000, Reward: -64.87192154008173 Cash: 147.38598178290792 
Episode 43/2000, Reward: -64.79582497667249 Cash: 145.2321109035277 
Episode 45/2000, Reward: -65.3077902444706 Cash: 141.7720927460614 
Episode 47/2000, Reward: -65.37022537398387 Cash: 142.48348278032395 
Episode 49/2000, Reward: -65.32210034246089 Cash: 140.94985845619385 
Episode 51/2000, Reward: -65.37704555058907 Cash: 141.94380841588696 
Episode 53/2000, Reward: -65.36277495512037 Cash: 141.27445870561417 
Episode 55/2000, Reward: -65.34177400202013 Cash: 140.6531836729606 
Episode 57/2000, Reward: -65.34420124209338 Cash: 140.53225115428344 
Episode 59/2000, Reward: -65.34754847358865 Cash: 140.45705633521976 
Episode 61/2000, Reward: -65.33335071544151 Cash: 139.9901152155657 
Episode 63/2000, Reward: -65.05257935144205 Cash: 150.3956491683662 
Episode 65/2000, Reward: -64.47687262667425 Cash: 173.02876867070393 
Episode 67/2000, Reward: -64.41346771761569 Cash: 201.71977005867896 
Episode 69/2000, Reward: -64.28708716728269 Cash: 203.17361756023286 
Episode 71/2000, Reward: -64.28314020679774 Cash: 205.4141540795749 
Episode 73/2000, Reward: -64.28579864891225 Cash: 206.53663247340236 
Episode 75/2000, Reward: -64.13990819194002 Cash: 205.2810733723452 
Episode 77/2000, Reward: -64.1374356616719 Cash: 205.38391605112085 
Episode 79/2000, Reward: -64.13570458308668 Cash: 205.60118509195715 
