Episode 3/200, Reward: -1.6995474417704617 Cash: 7288.5167500774405 
Episode 5/200, Reward: -1.6577446796066564 Cash: 6626.394720277958 
Episode 7/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 9/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 11/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 13/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 15/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 17/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 19/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
