Episode 3/200, Reward: -1.589970211951646 Cash: 8229.217769806235 
Episode 5/200, Reward: -1.4941814863102456 Cash: 9102.722666375816 
Episode 7/200, Reward: -1.401285135740343 Cash: 10000.0 
Episode 9/200, Reward: -1.401285135740343 Cash: 10000.0 
Episode 11/200, Reward: -1.401285135740343 Cash: 10000.0 
Episode 13/200, Reward: -1.401285135740343 Cash: 10000.0 
Episode 15/200, Reward: -1.401285135740343 Cash: 10000.0 
Episode 17/200, Reward: -1.401285135740343 Cash: 10000.0 
Episode 19/200, Reward: -1.401285135740343 Cash: 10000.0 
