Episode 3/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 5/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 7/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 9/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 11/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 13/2000, Reward: -57.990143135624095 Cash: 9960.858177575212 
Episode 15/2000, Reward: -57.97845154819872 Cash: 9855.449353285625 
Episode 17/2000, Reward: -57.89806159940778 Cash: 9587.06019766447 
Episode 19/2000, Reward: -57.70778628962934 Cash: 9110.826126617636 
Episode 21/2000, Reward: -57.23496219049103 Cash: 8556.505839506857 
Episode 23/2000, Reward: -56.710551275654964 Cash: 7967.587422194058 
