Episode 4/2000, Reward: -185.45924271288527 Cash: 6419.558743141818 
Episode 7/2000, Reward: -191.09068850367336 Cash: 6701.9576488614675 
Episode 10/2000, Reward: -191.09003721041248 Cash: 6701.924231215989 
Episode 13/2000, Reward: -191.09049364941373 Cash: 6701.947650952485 
Episode 16/2000, Reward: -191.0902107106979 Cash: 6701.9331334592935 
Episode 19/2000, Reward: -191.09011862191818 Cash: 6701.928408413561 
Episode 22/2000, Reward: -191.09039622235156 Cash: 6701.942652001606 
Episode 25/2000, Reward: -191.0901960296638 Cash: 6701.932380179697 
Episode 28/2000, Reward: -191.09004655246068 Cash: 6701.9247105528675 
Episode 31/2000, Reward: -191.0906057570971 Cash: 6701.953403160911 
Episode 34/2000, Reward: -191.0917495237467 Cash: 6702.012089454996 
Episode 37/2000, Reward: -191.0922940472186 Cash: 6702.040028776464 
Episode 40/2000, Reward: -191.09278518589053 Cash: 6702.065228940978 
Episode 43/2000, Reward: -191.0929987244385 Cash: 6702.076185533975 
Episode 46/2000, Reward: -191.0930294206836 Cash: 6702.077760548433 
Episode 49/2000, Reward: -191.09295735135527 Cash: 6702.0740626946435 
Episode 52/2000, Reward: -191.0930814706868 Cash: 6702.08043121702 
Episode 55/2000, Reward: -191.09342046301512 Cash: 6702.097824802173 
Episode 58/2000, Reward: -191.09367670918454 Cash: 6702.110972709062 
Episode 61/2000, Reward: -191.09376612842064 Cash: 6702.115560780735 
Episode 64/2000, Reward: -191.093830189963 Cash: 6702.118847757456 
Episode 67/2000, Reward: -191.09387156304248 Cash: 6702.120970596589 
Episode 70/2000, Reward: -191.09390225919822 Cash: 6702.12254560627 
Episode 73/2000, Reward: -191.09392761689205 Cash: 6702.123846701222 
Episode 76/2000, Reward: -191.09394229766215 Cash: 6702.12459996672 
Episode 79/2000, Reward: -191.0939516399704 Cash: 6702.125079317494 
Episode 82/2000, Reward: -191.09396231689416 Cash: 6702.1256271469465 
Episode 85/2000, Reward: -191.09396632074058 Cash: 6702.125832582992 
Episode 88/2000, Reward: -191.09396898997144 Cash: 6702.125969540355 
Episode 91/2000, Reward: -191.0939729938179 Cash: 6702.126174976401 
Episode 94/2000, Reward: -191.0939796668952 Cash: 6702.126517369808 
Episode 97/2000, Reward: -191.0939810015107 Cash: 6702.12658584849 
Episode 100/2000, Reward: -191.0939850053571 Cash: 6702.126791284536 
Episode 103/2000, Reward: -191.0939863399726 Cash: 6702.126859763218 
Episode 106/2000, Reward: -191.09398767458802 Cash: 6702.126928241899 
Episode 109/2000, Reward: -191.09398900920354 Cash: 6702.126996720582 
Episode 112/2000, Reward: -191.09399034381897 Cash: 6702.127065199263 
Episode 115/2000, Reward: -191.09398900920354 Cash: 6702.126996720582 
Episode 118/2000, Reward: -191.09398767458802 Cash: 6702.126928241899 
Episode 121/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 124/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 127/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 130/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 133/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 136/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 139/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 142/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 145/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 148/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 151/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 154/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 157/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 160/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 163/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 166/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 169/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 172/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 175/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 178/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 181/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 184/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 187/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 190/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 193/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 196/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 199/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 202/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 205/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 208/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 211/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 214/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 217/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 220/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
Episode 223/2000, Reward: -191.0939956822808 Cash: 6702.1273391139885 
