Episode 3/2000, Reward: -0.919169820734086 Cash: 9220.333636854644 
Episode 5/2000, Reward: -0.919169820734086 Cash: 9220.333636854644 
Episode 7/2000, Reward: -0.919169820734086 Cash: 9220.333636854644 
Episode 9/2000, Reward: -0.919169820734086 Cash: 9220.333636854644 
Episode 11/2000, Reward: -0.9289219418471216 Cash: 9128.227954994045 
Episode 13/2000, Reward: -1.054384484897557 Cash: 7977.435143092 
Episode 15/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 17/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 19/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 21/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 23/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 25/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 27/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 29/2000, Reward: -0.8387185660856625 Cash: 10000.0 
