Episode 3/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 5/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 7/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 9/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 11/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 13/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 15/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 17/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 19/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 21/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 23/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 25/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 27/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 29/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 31/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 33/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 35/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 37/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 39/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 41/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 43/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 45/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 47/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 49/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 51/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 53/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 55/2000, Reward: -60.4873332691107 Cash: 279.8934097284873 
Episode 57/2000, Reward: -57.68614190643866 Cash: 156.07461399844726 
Episode 59/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 61/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 63/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 65/2000, Reward: -62.12136719722823 Cash: 201.47584275048357 
Episode 67/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 69/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 71/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 73/2000, Reward: -59.864530889589155 Cash: 233.8647042093278 
Episode 75/2000, Reward: -58.20570226299385 Cash: 257.52737185792563 
Episode 77/2000, Reward: -56.55841012804009 Cash: 190.18792922193202 
Episode 79/2000, Reward: -50.24881601466459 Cash: 175.32086262098673 
Episode 81/2000, Reward: -49.60325499655415 Cash: 125.18453121598803 
Episode 83/2000, Reward: -51.368054449977556 Cash: 162.31302038420037 
Episode 85/2000, Reward: -62.77399117728586 Cash: 99.19847049568213 
Episode 87/2000, Reward: -56.53745152607191 Cash: 227.24797988507916 
Episode 89/2000, Reward: -58.028975333244446 Cash: 124.47224487715042 
Episode 91/2000, Reward: -50.68134636611177 Cash: 373.37934142446494 
Episode 93/2000, Reward: -46.67986655173439 Cash: 2137.595915066882 
Episode 95/2000, Reward: -46.49557018478227 Cash: 2630.9248715450926 
Episode 97/2000, Reward: -47.70706182586605 Cash: 5009.2024684082935 
Episode 99/2000, Reward: -45.25997602812168 Cash: 11658.282143525606 
Episode 101/2000, Reward: -38.411079723267235 Cash: 147675.7133478247 
Episode 103/2000, Reward: -36.296232486734205 Cash: 182133.22160859534 
Episode 105/2000, Reward: -36.70150384354825 Cash: 297796.8740194622 
Episode 107/2000, Reward: -35.34987218488859 Cash: 260372.05087107184 
Episode 109/2000, Reward: -33.44040933237646 Cash: 575537.4760270487 
Episode 111/2000, Reward: -32.01079506342441 Cash: 1680363.2459812544 
