Episode 3/2000, Reward: -0.8403337751936559 Cash: 9983.854494232262 
Episode 5/2000, Reward: -0.8403337751936559 Cash: 9983.854494232262 
Episode 7/2000, Reward: -0.8403337751936559 Cash: 9983.854494232262 
Episode 9/2000, Reward: -0.8403337751936559 Cash: 9983.854494232262 
Episode 11/2000, Reward: -0.838623754769009 Cash: 10000.946678803331 
Episode 13/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 15/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 17/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 19/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 21/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 23/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 25/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 27/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 29/2000, Reward: -0.8387185660856625 Cash: 10000.0 
