Episode 3/200, Reward: -1.401285135740343 Cash: 10000.0 
Episode 5/200, Reward: -1.7312864883718129 Cash: 6198.015441454664 
Episode 7/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 9/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 11/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 13/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 15/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 17/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 19/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
