Episode 3/2000, Reward: -58.027849355044886 Cash: 9547.368088449484 
Episode 5/2000, Reward: -58.027849355044886 Cash: 9547.368088449484 
Episode 7/2000, Reward: -58.027849355044886 Cash: 9547.368088449484 
Episode 9/2000, Reward: -58.01127729276841 Cash: 9716.997117838786 
Episode 11/2000, Reward: -57.986393075227596 Cash: 9998.393819160423 
Episode 13/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 15/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 17/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 19/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 21/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 23/2000, Reward: -57.98623264312494 Cash: 10000.0 
