Episode 3/2000, Reward: -0.9271221843255738 Cash: 9144.558041512682 
Episode 5/2000, Reward: -0.9271221843255738 Cash: 9144.558041512682 
Episode 7/2000, Reward: -0.9271221843255738 Cash: 9144.558041512682 
Episode 9/2000, Reward: -0.9271221843255738 Cash: 9144.558041512682 
Episode 11/2000, Reward: -0.8291762896468925 Cash: 10095.575566559964 
Episode 13/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 15/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 17/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 19/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 21/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 23/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 25/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 27/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 29/2000, Reward: -0.8387185660856625 Cash: 10000.0 
