Episode 3/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 5/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 7/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 9/2000, Reward: -57.9878122525998 Cash: 9984.207258241637 
Episode 11/2000, Reward: -58.016347213598706 Cash: 9689.47180112809 
Episode 13/2000, Reward: -57.9298936334237 Cash: 9335.593319930249 
Episode 15/2000, Reward: -57.52177969834891 Cash: 8898.12803961426 
Episode 17/2000, Reward: -57.255066746880914 Cash: 8557.346336402828 
Episode 19/2000, Reward: -57.008909134591896 Cash: 8267.14435840394 
Episode 21/2000, Reward: -56.76550442365065 Cash: 7981.348953120129 
Episode 23/2000, Reward: -56.51320410928082 Cash: 7690.811744517467 
