Episode 3/2000, Reward: -0.8396654938819906 Cash: 9989.599369389596 
Episode 5/2000, Reward: -0.8396654938819906 Cash: 9989.599369389596 
Episode 7/2000, Reward: -0.8396654938819906 Cash: 9989.599369389596 
Episode 9/2000, Reward: -0.8396654938819906 Cash: 9989.599369389596 
Episode 11/2000, Reward: -0.9975345373008855 Cash: 8505.602022990364 
Episode 13/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 15/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 17/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 19/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 21/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 23/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 25/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 27/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 29/2000, Reward: -0.8387185660856625 Cash: 10000.0 
