Episode 3/2000, Reward: -0.9922927534742403 Cash: 8551.992065269125 
Episode 5/2000, Reward: -0.9922927534742403 Cash: 8551.992065269125 
Episode 7/2000, Reward: -0.9922927534742403 Cash: 8551.992065269125 
Episode 9/2000, Reward: -0.9922927534742403 Cash: 8551.992065269125 
Episode 11/2000, Reward: -0.8466978695529237 Cash: 9919.345511651516 
Episode 13/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 15/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 17/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 19/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 21/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 23/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 25/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 27/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 29/2000, Reward: -0.8387185660856625 Cash: 10000.0 
Episode 31/2000, Reward: -0.8387185660856625 Cash: 10000.0 
