Episode 4/2000, Reward: -222.59641081503324 Cash: 10037.514535066935 
Episode 7/2000, Reward: -192.38699337996113 Cash: 6738.841231420998 
Episode 10/2000, Reward: -190.8900309274207 Cash: 6691.661924792863 
Episode 13/2000, Reward: -191.07691124096718 Cash: 6701.250741974238 
Episode 16/2000, Reward: -191.0889254768757 Cash: 6701.867188535359 
Episode 19/2000, Reward: -191.09159337444248 Cash: 6702.004077486915 
Episode 22/2000, Reward: -191.09254095142313 Cash: 6702.052697350928 
Episode 25/2000, Reward: -191.09305878222386 Cash: 6702.079267079431 
Episode 28/2000, Reward: -191.0933617399347 Cash: 6702.094811740179 
Episode 31/2000, Reward: -191.0935299014833 Cash: 6702.103440054073 
Episode 34/2000, Reward: -191.09361531687304 Cash: 6702.1078226897025 
Episode 37/2000, Reward: -191.09366870149177 Cash: 6702.110561836972 
Episode 40/2000, Reward: -191.09369939764744 Cash: 6702.11213684665 
Episode 43/2000, Reward: -191.09372075149489 Cash: 6702.113232505557 
Episode 46/2000, Reward: -191.0937501130351 Cash: 6702.114739036555 
Episode 49/2000, Reward: -191.09376612842064 Cash: 6702.115560780735 
Episode 52/2000, Reward: -191.09379415534548 Cash: 6702.116998833052 
Episode 55/2000, Reward: -191.09381150534654 Cash: 6702.117889055913 
Episode 58/2000, Reward: -191.09382351688575 Cash: 6702.118505364049 
Episode 61/2000, Reward: -191.093830189963 Cash: 6702.118847757456 
Episode 64/2000, Reward: -191.09383552842493 Cash: 6702.1191216721845 
Episode 67/2000, Reward: -191.0938435361177 Cash: 6702.119532544275 
Episode 70/2000, Reward: -191.09385287842596 Cash: 6702.120011895046 
Episode 73/2000, Reward: -191.09385821688787 Cash: 6702.120285809773 
Episode 76/2000, Reward: -191.09386222073425 Cash: 6702.120491245819 
Episode 79/2000, Reward: -191.0938702284271 Cash: 6702.12090211791 
Episode 82/2000, Reward: -191.09387957073528 Cash: 6702.121381468681 
Episode 85/2000, Reward: -191.0938809053508 Cash: 6702.1214499473635 
Episode 88/2000, Reward: -191.09389158227447 Cash: 6702.121997776816 
Episode 91/2000, Reward: -191.09389558612088 Cash: 6702.122203212862 
Episode 94/2000, Reward: -191.09390492842914 Cash: 6702.122682563632 
Episode 97/2000, Reward: -191.09390626304466 Cash: 6702.122751042316 
Episode 100/2000, Reward: -191.0939129361219 Cash: 6702.123093435723 
Episode 103/2000, Reward: -191.0939129361219 Cash: 6702.123093435723 
Episode 106/2000, Reward: -191.0939222784302 Cash: 6702.123572786497 
Episode 109/2000, Reward: -191.09392761689205 Cash: 6702.123846701222 
Episode 112/2000, Reward: -191.0939329553539 Cash: 6702.124120615949 
