Episode 3/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 5/2000, Reward: -62.22996502718243 Cash: 199.7892227580443 
Episode 7/2000, Reward: -61.80624290228804 Cash: 195.57628923636895 
Episode 9/2000, Reward: -61.43903003839041 Cash: 201.06388297057904 
Episode 11/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 13/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 15/2000, Reward: -59.86301481960666 Cash: 203.0847044858978 
Episode 17/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 19/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 21/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 23/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 25/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 27/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 29/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 31/2000, Reward: -57.56336809939138 Cash: 228.1831865747783 
Episode 33/2000, Reward: -56.174275434494156 Cash: 200.144273074044 
Episode 35/2000, Reward: -54.62703412477899 Cash: 193.75811296496124 
Episode 37/2000, Reward: -65.32676360045011 Cash: 158.87429435699616 
Episode 39/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 41/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 43/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 45/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 47/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 49/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 51/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 53/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 55/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 57/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 59/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 61/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 63/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 65/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 67/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 69/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 71/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 73/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 75/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 77/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 79/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 81/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 83/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 85/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 87/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 89/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 91/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 93/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 95/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 97/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 99/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 101/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 103/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 105/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 107/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 109/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 111/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
