Episode 3/2000, Reward: -55.946149106289774 Cash: 9970.327536667852 
Episode 5/2000, Reward: -55.946149106289774 Cash: 9970.327536667852 
Episode 7/2000, Reward: -55.946149106289774 Cash: 9970.327536667852 
Episode 9/2000, Reward: -46.868910483867694 Cash: 3361.8921111960094 
Episode 11/2000, Reward: -6.1605624118031015 Cash: 229.01041543087078 
Episode 13/2000, Reward: -6.1605624118031015 Cash: 229.01041543087078 
Episode 15/2000, Reward: -6.1605624118031015 Cash: 229.01041543087078 
Episode 17/2000, Reward: -6.1605624118031015 Cash: 229.01041543087078 
Episode 19/2000, Reward: -6.1605624118031015 Cash: 229.01041543087078 
