Episode 3/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 5/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 7/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 9/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 11/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 13/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 15/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 17/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 19/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 21/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 23/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 25/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 27/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 29/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 31/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 33/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 35/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 37/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 39/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 41/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 43/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 45/2000, Reward: -56.302932460368226 Cash: 235.6205389366861 
Episode 47/2000, Reward: -57.48140254435497 Cash: 174.50221080678784 
Episode 49/2000, Reward: -56.819910550779575 Cash: 228.3469613102243 
Episode 51/2000, Reward: -63.63143159296318 Cash: 120.2402973783761 
Episode 53/2000, Reward: -63.63281672093979 Cash: 120.2453847387257 
Episode 55/2000, Reward: -66.3681230271758 Cash: 95.65474586309318 
Episode 57/2000, Reward: -66.37260285819383 Cash: 95.58088699069272 
Episode 59/2000, Reward: -66.3728990158511 Cash: 95.57405946547867 
Episode 61/2000, Reward: -66.37290128690344 Cash: 95.5740018804886 
Episode 63/2000, Reward: -66.37290143791766 Cash: 95.57399636532394 
Episode 65/2000, Reward: -66.37290163614456 Cash: 95.57398822043389 
Episode 67/2000, Reward: -66.37290184374952 Cash: 95.57398244974439 
Episode 69/2000, Reward: -66.37290184375048 Cash: 95.57398245044773 
Episode 71/2000, Reward: -66.37290184374629 Cash: 95.57398245111837 
Episode 73/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 75/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 77/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 79/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 81/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 83/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 85/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 87/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 89/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 91/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 93/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 95/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 97/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 99/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 101/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 103/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 105/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 107/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 109/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 111/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
