Episode 3/200, Reward: -1.8472154568839905 Cash: 6081.21956336979 
Episode 5/200, Reward: -1.3889694945179032 Cash: 10123.439967015076 
Episode 7/200, Reward: -1.324708740177723 Cash: 10319.723037400016 
Episode 9/200, Reward: -1.3029041528074694 Cash: 8955.36778401513 
Episode 11/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 13/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 15/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 17/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
Episode 19/200, Reward: -1.3029039190928797 Cash: 8955.369325298672 
