Episode 3/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 5/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 7/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 9/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 11/2000, Reward: -1.1814321181101177 Cash: 7595.836700660486 
Episode 13/2000, Reward: -0.9290565713749717 Cash: 9827.887717434955 
Episode 15/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 17/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 19/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 21/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 23/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 25/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 27/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 29/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 31/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 33/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 35/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 37/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 39/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 41/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 43/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 45/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 47/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 49/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 51/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 53/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 55/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 57/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 59/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 61/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 63/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 65/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 67/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 69/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 71/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 73/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 75/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 77/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 79/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 81/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 83/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 85/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 87/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 89/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 91/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 93/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 95/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 97/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 99/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 101/2000, Reward: -0.9136909850848449 Cash: 10000.0 
Episode 103/2000, Reward: -0.977615678270056 Cash: 9360.75306814789 
Episode 105/2000, Reward: -0.6208371582270718 Cash: 13259.753683789731 
Episode 107/2000, Reward: -0.8543541972911138 Cash: 10441.685396587805 
Episode 109/2000, Reward: -0.718663271160476 Cash: 11768.540906185506 
Episode 111/2000, Reward: -0.6887971724462153 Cash: 11799.452370621228 
Episode 113/2000, Reward: -0.778434747811827 Cash: 10556.841561307105 
Episode 115/2000, Reward: -1.0471973353007562 Cash: 7247.737324455256 
Episode 117/2000, Reward: -1.046774314939934 Cash: 7250.134543613101 
Episode 119/2000, Reward: -1.046377844766223 Cash: 7252.423858839024 
Episode 121/2000, Reward: -1.046377844766223 Cash: 7252.423858839024 
Episode 123/2000, Reward: -1.046377844766223 Cash: 7252.423858839024 
Episode 125/2000, Reward: -1.046377844766223 Cash: 7252.423858839024 
Episode 127/2000, Reward: -1.046377844766223 Cash: 7252.423858839024 
Episode 129/2000, Reward: -1.046377844766223 Cash: 7252.423858839024 
Episode 131/2000, Reward: -1.046377844766223 Cash: 7252.423858839024 
