Episode 3/2000, Reward: -57.76299103522665 Cash: 11282.843815183825 
Episode 5/2000, Reward: -57.76299103522665 Cash: 11282.843815183825 
Episode 7/2000, Reward: -57.76299103522665 Cash: 11282.843815183825 
Episode 9/2000, Reward: -57.87502274709561 Cash: 10750.893610628644 
Episode 11/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 13/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 15/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 17/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 19/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 21/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 23/2000, Reward: -57.98623264312494 Cash: 10000.0 
