Episode 3/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 5/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 7/2000, Reward: -57.98623264312494 Cash: 10000.0 
Episode 9/2000, Reward: -57.963830634300315 Cash: 10118.610410194879 
Episode 11/2000, Reward: -57.46653252699205 Cash: 11662.116682954782 
Episode 13/2000, Reward: -56.938189223289015 Cash: 12891.895635616054 
Episode 15/2000, Reward: -56.75227220282695 Cash: 14165.60552431971 
Episode 17/2000, Reward: -56.80647744179818 Cash: 14940.806528784664 
Episode 19/2000, Reward: -57.19733456756735 Cash: 13845.020029057301 
Episode 21/2000, Reward: -57.975864272358535 Cash: 10090.591260624567 
Episode 23/2000, Reward: -57.98623264312494 Cash: 10000.0 
