Episode 3/2000, Reward: -57.10596923590306 Cash: 9958.08919086368 
Episode 5/2000, Reward: -57.10596923590306 Cash: 9958.08919086368 
Episode 7/2000, Reward: -57.10596923590306 Cash: 9958.08919086368 
Episode 9/2000, Reward: -47.69483869378774 Cash: 1783.7497318666678 
Episode 11/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
Episode 13/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
Episode 15/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
Episode 17/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
Episode 19/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
Episode 21/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
Episode 23/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
Episode 25/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
Episode 27/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
Episode 29/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
Episode 31/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
Episode 33/2000, Reward: -83.10044965964141 Cash: 229.01041543087078 
